Ladder Size (bp),Time (sec)
35,1140
100,1251
200,1438
300,1602
400,1740
500,1872
600,1968
700,2049
800,2099
900,2141
1000,2168
1200,2209
1500,2241
2000,2294
3000,2351
5000,2439
