Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
A1,SampA1,0.5190,35,,24.2353,15070,50.1695,168.8801,50.7545,,
A1,SampA1,2.2898,100,4.6,37.5999,6558,50.1695,168.8801,50.7545,,
A1,SampA1,2.9594,200,5.9,24.4513,9583,50.1695,168.8801,50.7545,,
A1,SampA1,3.0587,300,6.1,16.7712,10548,50.1695,168.8801,50.7545,,
A1,SampA1,3.2396,400,6.5,13.3253,11429,50.1695,168.8801,50.7545,,
A1,SampA1,8.4071,500,16.8,27.7234,31315,50.1695,168.8801,50.7545,,
A1,SampA1,2.7026,600,5.4,7.4249,10256,50.1695,168.8801,50.7545,,
A1,SampA1,2.6049,700,5.2,6.1330,10118,50.1695,168.8801,50.7545,,
A1,SampA1,2.7118,800,5.4,5.6000,10203,50.1695,168.8801,50.7545,,
A1,SampA1,2.7388,900,5.5,5.0197,10794,50.1695,168.8801,50.7545,,
A1,SampA1,8.6265,1000,17.2,14.2414,30538,50.1695,168.8801,50.7545,,
A1,SampA1,2.8331,1200,5.6,3.9055,10981,50.1695,168.8801,50.7545,,
A1,SampA1,2.8033,1500,5.6,3.0928,9003,50.1695,168.8801,50.7545,,
A1,SampA1,2.6485,2000,5.3,2.1864,10591,50.1695,168.8801,50.7545,,
A1,SampA1,2.5455,3000,5.1,1.4053,9755,50.1695,168.8801,50.7545,,
A1,SampA1,0.5000,5000,,0.1647,20385,50.1695,168.8801,50.7545,,
A2,SampA2,0.5588,35,,26.0913,15750,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0575,72,0.2,1.3479,63,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.2414,90,0.8,4.4530,252,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,27.6572,399,90.7,115.1994,44895,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,2.3529,425,7.7,8.8592,1020,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.1001,1779,0.3,0.1010,57,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0216,3280,0.1,0.0110,54,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0255,3931,0.1,0.0107,56,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0317,4279,0.1,0.0122,67,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.5000,5000,,0.1648,19948,30.4880,129.9946,30.7617,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.9211,35,,44.2654,17996,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.1342,63,0.4,3.4379,66,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.1415,75,0.4,3.0541,134,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,28.8635,438,84.6,109.1757,29169,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,1.2300,484,3.6,4.1905,898,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,2.2629,508,6.6,7.3299,1936,34.1291,129.7486,34.2816,N/A (Size threshold is less than lower marker end point),0
