Source Barcode,Source Region,Destination Barcode,Destination Region
BAOsTRFOp00057,A1,BAOsQT48p00113,A1
BAOsTRFOp00057,B1,BAOsQT48p00113,A2
BAOsTRFOp00057,C1,BAOsQT48p00113,A3
BAOsTRFOp00057,D1,BAOsQT48p00113,A4
BAOsTRFOp00057,E1,BAOsQT48p00113,B1
BAOsTRFOp00057,F1,BAOsQT48p00113,B2
BAOsTRFOp00057,G1,BAOsQT48p00113,B3
BAOsTRFOp00057,H1,BAOsQT48p00113,B4
BAOsTRFOp00057,A2,BAOsQT48p00113,C1
BAOsTRFOp00057,B2,BAOsQT48p00113,C2
BAOsTRFOp00057,C2,BAOsQT48p00113,C3
BAOsTRFOp00057,D2,BAOsQT48p00113,C4
BAOsTRFOp00057,E2,BAOsQT48p00113,D1
BAOsTRFOp00057,F2,BAOsQT48p00113,D2
BAOsTRFOp00057,G2,BAOsQT48p00113,D3
BAOsTRFOp00057,H2,BAOsQT48p00113,D4
BAOsTRFOp00057,A3,BAOsQT48p00113,E1
BAOsTRFOp00057,B3,BAOsQT48p00113,E2
BAOsTRFOp00057,C3,BAOsQT48p00113,E3
BAOsTRFOp00057,D3,BAOsQT48p00113,E4
BAOsTRFOp00057,E3,BAOsQT48p00113,F1
BAOsTRFOp00057,F3,BAOsQT48p00113,F2
BAOsTRFOp00057,G3,BAOsQT48p00113,F3
BAOsTRFOp00057,H3,BAOsQT48p00113,F4
BAOsTRFOp00057,A4,BAOsQT48p00113,A5
BAOsTRFOp00057,B4,BAOsQT48p00113,A6
BAOsTRFOp00057,C4,BAOsQT48p00113,A7
BAOsTRFOp00057,D4,BAOsQT48p00113,A8
BAOsTRFOp00057,E4,BAOsQT48p00113,B5
BAOsTRFOp00057,F4,BAOsQT48p00113,B6
BAOsTRFOp00057,G4,BAOsQT48p00113,B7
BAOsTRFOp00057,H4,BAOsQT48p00113,B8
BAOsTRFOp00057,A5,BAOsQT48p00113,C5
BAOsTRFOp00057,B5,BAOsQT48p00113,C6
BAOsTRFOp00057,C5,BAOsQT48p00113,C7
BAOsTRFOp00057,D5,BAOsQT48p00113,C8
BAOsTRFOp00057,E5,BAOsQT48p00113,D5
BAOsTRFOp00057,F5,BAOsQT48p00113,D6
BAOsTRFOp00057,G5,BAOsQT48p00113,D7
BAOsTRFOp00057,H5,BAOsQT48p00113,D8
BAOsTRFOp00057,A6,BAOsQT48p00113,E5
BAOsTRFOp00057,B6,BAOsQT48p00113,E6
BAOsTRFOp00057,C6,BAOsQT48p00113,E7
BAOsTRFOp00057,D6,BAOsQT48p00113,E8
BAOsTRFOp00057,E6,BAOsQT48p00113,F5
BAOsTRFOp00057,F6,BAOsQT48p00113,F6
BAOsTRFOp00057,G6,BAOsQT48p00113,F7
BAOsTRFOp00057,H6,BAOsQT48p00113,F8
BAOsTRFOp00057,A7,BAOsQT48p00114,A1
BAOsTRFOp00057,B7,BAOsQT48p00114,A2
BAOsTRFOp00057,C7,BAOsQT48p00114,A3
BAOsTRFOp00057,D7,BAOsQT48p00114,A4
BAOsTRFOp00057,E7,BAOsQT48p00114,B1
BAOsTRFOp00057,F7,BAOsQT48p00114,B2
BAOsTRFOp00057,G7,BAOsQT48p00114,B3
BAOsTRFOp00057,H7,BAOsQT48p00114,B4
BAOsTRFOp00057,A8,BAOsQT48p00114,C1
