Source Barcode,Source Region,Destination Barcode,Destination Region
BAOsTRFOp00057,B8,BAOsQT48p00114,C2
BAOsTRFOp00057,C8,BAOsQT48p00114,C3
BAOsTRFOp00057,D8,BAOsQT48p00114,C4
BAOsTRFOp00057,E8,BAOsQT48p00114,D1
BAOsTRFOp00057,F8,BAOsQT48p00114,D2
BAOsTRFOp00057,G8,BAOsQT48p00114,D3
BAOsTRFOp00057,H8,BAOsQT48p00114,D4
BAOsTRFOp00057,A9,BAOsQT48p00114,E1
BAOsTRFOp00057,B9,BAOsQT48p00114,E2
BAOsTRFOp00057,C9,BAOsQT48p00114,E3
BAOsTRFOp00057,D9,BAOsQT48p00114,E4
BAOsTRFOp00057,E9,BAOsQT48p00114,F1
BAOsTRFOp00057,F9,BAOsQT48p00114,F2
BAOsTRFOp00057,G9,BAOsQT48p00114,F3
BAOsTRFOp00057,H9,BAOsQT48p00114,F4
BAOsTRFOp00057,A10,BAOsQT48p00114,A5
BAOsTRFOp00057,B10,BAOsQT48p00114,A6
BAOsTRFOp00057,C10,BAOsQT48p00114,A7
BAOsTRFOp00057,D10,BAOsQT48p00114,A8
BAOsTRFOp00057,E10,BAOsQT48p00114,B5
BAOsTRFOp00057,F10,BAOsQT48p00114,B6
BAOsTRFOp00057,G10,BAOsQT48p00114,B7
BAOsTRFOp00057,H10,BAOsQT48p00114,B8
BAOsTRFOp00057,A11,BAOsQT48p00114,C5
BAOsTRFOp00057,B11,BAOsQT48p00114,C6
BAOsTRFOp00057,C11,BAOsQT48p00114,C7
BAOsTRFOp00057,D11,BAOsQT48p00114,C8
BAOsTRFOp00057,E11,BAOsQT48p00114,D5
BAOsTRFOp00057,F11,BAOsQT48p00114,D6
BAOsTRFOp00057,G11,BAOsQT48p00114,D7
BAOsTRFOp00057,H11,BAOsQT48p00114,D8
BAOsTRFOp00057,A12,BAOsQT48p00114,E5
BAOsTRFOp00057,B12,BAOsQT48p00114,E6
BAOsTRFOp00057,C12,BAOsQT48p00114,E7
BAOsTRFOp00057,D12,BAOsQT48p00114,E8
BAOsTRFOp00057,E12,BAOsQT48p00114,F5
BAOsTRFOp00057,F12,BAOsQT48p00114,F6
BAOsTRFOp00057,G12,BAOsQT48p00114,F7
BAOsTRFOp00057,H12,BAOsQT48p00114,F8
