Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume,Primer
PrimerPlate,E1,BAOsPCR3p00060,E10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,E11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,E12,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,F1,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F2,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,F3,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,F4,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00060,F5,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F6,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,F7,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,F8,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,F9,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,F10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,F11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F12,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,G1,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,G2,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,G3,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,G4,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,G5,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,G6,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,G7,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,G8,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,G9,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,G10,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00060,G11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,G12,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00060,H1,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,H2,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H3,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H4,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,H5,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,H6,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H7,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H8,250,H3 3-2
PrimerPlate,I3,BAOsPCR3p00060,H9,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,H10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H11,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H12,250,H3 3-2
