Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume,Primer
PrimerPlate,K13,BAOsPCR3p00059,E1,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,E2,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,E3,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,E4,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,E5,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00059,E6,250,H3 3-2
PrimerPlate,I3,BAOsPCR3p00059,E7,250,K3 3-2
PrimerPlate,K13,BAOsPCR3p00059,E8,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,E9,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00059,E10,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,E11,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,E12,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,F1,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,F2,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,F3,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,F4,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,F5,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,F6,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,F7,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,F8,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,F9,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,F10,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00059,F11,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00059,F12,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,G1,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00059,G2,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,G3,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00059,G4,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00059,G5,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00059,G6,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,G7,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,G8,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,G9,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,G10,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,G11,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00059,G12,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,H1,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,H2,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,H3,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,H4,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,H5,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00059,H6,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,H7,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,H8,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,H9,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,H10,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00059,H11,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00059,H12,250,L3 2/3
