Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume,Primer
PrimerPlate,A15,BAOsPCR3p00059,A1,250,H5 3-10
PrimerPlate,G1,BAOsPCR3p00059,A2,250,K5 3-1
PrimerPlate,M5,BAOsPCR3p00059,A3,250,L5 3-9
PrimerPlate,A5,BAOsPCR3p00059,A4,250,H5 3-8
PrimerPlate,G1,BAOsPCR3p00059,A5,250,K5 3-1
PrimerPlate,A9,BAOsPCR3p00059,A6,250,H5 2/3-3
PrimerPlate,G1,BAOsPCR3p00059,A7,250,K5 3-1
PrimerPlate,M5,BAOsPCR3p00059,A8,250,L5 3-9
PrimerPlate,A17,BAOsPCR3p00059,A9,250,H5 2/3-5
PrimerPlate,G1,BAOsPCR3p00059,A10,250,K5 3-1
PrimerPlate,A17,BAOsPCR3p00059,A11,250,H5 2/3-5
PrimerPlate,G1,BAOsPCR3p00059,A12,250,K5 3-1
PrimerPlate,K1,BAOsPCR3p00059,B1,250,L5 2/3-1
PrimerPlate,A7,BAOsPCR3p00059,B2,250,H5 2/3-2
PrimerPlate,G15,BAOsPCR3p00059,B3,250,K5 3-8
PrimerPlate,A19,BAOsPCR3p00059,B4,250,H5 2/3-6
PrimerPlate,G17,BAOsPCR3p00059,B5,250,K5 3-9
PrimerPlate,A9,BAOsPCR3p00059,B6,250,H5 2/3-3
PrimerPlate,G1,BAOsPCR3p00059,B7,250,K5 3-1
PrimerPlate,A19,BAOsPCR3p00059,B8,250,H5 2/3-6
PrimerPlate,G9,BAOsPCR3p00059,B9,250,K5 3-5
PrimerPlate,A15,BAOsPCR3p00059,B10,250,H5 3-10
PrimerPlate,K5,BAOsPCR3p00059,B11,250,L5 2/3-3
PrimerPlate,A1,BAOsPCR3p00059,B12,250,H5 2/3-1
PrimerPlate,G11,BAOsPCR3p00059,C1,250,K5 3-6
PrimerPlate,A9,BAOsPCR3p00059,C2,250,H5 2/3-3
PrimerPlate,G1,BAOsPCR3p00059,C3,250,K5 3-1
PrimerPlate,A1,BAOsPCR3p00059,C4,250,H5 2/3-1
PrimerPlate,K3,BAOsPCR3p00059,C5,250,L5 2/3-2
PrimerPlate,A15,BAOsPCR3p00059,C6,250,H5 3-10
PrimerPlate,G1,BAOsPCR3p00059,C7,250,K5 3-1
PrimerPlate,A9,BAOsPCR3p00059,C8,250,H5 2/3-3
PrimerPlate,G15,BAOsPCR3p00059,C9,250,K5 3-8
PrimerPlate,A9,BAOsPCR3p00059,C10,250,H5 2/3-3
PrimerPlate,K5,BAOsPCR3p00059,C11,250,L5 2/3-3
PrimerPlate,A17,BAOsPCR3p00059,C12,250,H5 2/3-5
PrimerPlate,G15,BAOsPCR3p00059,D1,250,K5 3-8
PrimerPlate,A19,BAOsPCR3p00059,D2,250,H5 2/3-6
PrimerPlate,G9,BAOsPCR3p00059,D3,250,K5 3-5
PrimerPlate,A17,BAOsPCR3p00059,D4,250,H5 2/3-5
PrimerPlate,G1,BAOsPCR3p00059,D5,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00059,D6,250,H5 3-10
PrimerPlate,M5,BAOsPCR3p00059,D7,250,L5 3-9
PrimerPlate,A21,BAOsPCR3p00059,D8,250,H5 3-11
PrimerPlate,K1,BAOsPCR3p00059,D9,250,L5 2/3-1
PrimerPlate,A13,BAOsPCR3p00059,D10,250,H5 2/3-4
PrimerPlate,G1,BAOsPCR3p00059,D11,250,K5 3-1
PrimerPlate,A17,BAOsPCR3p00059,D12,250,H5 2/3-5
PrimerPlate,K1,BAOsPCR3p00059,E1,250,L5 2/3-1
PrimerPlate,A9,BAOsPCR3p00059,E2,250,H5 2/3-3
PrimerPlate,K3,BAOsPCR3p00059,E3,250,L5 2/3-2
PrimerPlate,A17,BAOsPCR3p00059,E4,250,H5 2/3-5
PrimerPlate,G13,BAOsPCR3p00059,E5,250,K5 3-7
PrimerPlate,A13,BAOsPCR3p00059,E6,250,H5 2/3-4
PrimerPlate,G1,BAOsPCR3p00059,E7,250,K5 3-1
PrimerPlate,K3,BAOsPCR3p00059,E8,250,L5 2/3-2
PrimerPlate,A15,BAOsPCR3p00059,E9,250,H5 3-10
PrimerPlate,G15,BAOsPCR3p00059,E10,250,K5 3-8
PrimerPlate,A15,BAOsPCR3p00059,E11,250,H5 3-10
PrimerPlate,G1,BAOsPCR3p00059,E12,250,K5 3-1
PrimerPlate,A9,BAOsPCR3p00059,F1,250,H5 2/3-3
PrimerPlate,G11,BAOsPCR3p00059,F2,250,K5 3-6
PrimerPlate,A1,BAOsPCR3p00059,F3,250,H5 2/3-1
PrimerPlate,G1,BAOsPCR3p00059,F4,250,K5 3-1
PrimerPlate,A7,BAOsPCR3p00059,F5,250,H5 2/3-2
PrimerPlate,G1,BAOsPCR3p00059,F6,250,K5 3-1
PrimerPlate,A17,BAOsPCR3p00059,F7,250,H5 2/3-5
PrimerPlate,G15,BAOsPCR3p00059,F8,250,K5 3-8
PrimerPlate,A9,BAOsPCR3p00059,F9,250,H5 2/3-3
PrimerPlate,G15,BAOsPCR3p00059,F10,250,K5 3-8
PrimerPlate,A9,BAOsPCR3p00059,F11,250,H5 2/3-3
PrimerPlate,K5,BAOsPCR3p00059,F12,250,L5 2/3-3
PrimerPlate,A17,BAOsPCR3p00059,G1,250,H5 2/3-5
PrimerPlate,K1,BAOsPCR3p00059,G2,250,L5 2/3-1
PrimerPlate,A9,BAOsPCR3p00059,G3,250,H5 2/3-3
PrimerPlate,G9,BAOsPCR3p00059,G4,250,K5 3-5
PrimerPlate,A17,BAOsPCR3p00059,G5,250,H5 2/3-5
PrimerPlate,K3,BAOsPCR3p00059,G6,250,L5 2/3-2
PrimerPlate,A13,BAOsPCR3p00059,G7,250,H5 2/3-4
PrimerPlate,G15,BAOsPCR3p00059,G8,250,K5 3-8
PrimerPlate,A21,BAOsPCR3p00059,G9,250,H5 3-11
PrimerPlate,K1,BAOsPCR3p00059,G10,250,L5 2/3-1
PrimerPlate,A17,BAOsPCR3p00059,G11,250,H5 2/3-5
PrimerPlate,K1,BAOsPCR3p00059,G12,250,L5 2/3-1
PrimerPlate,A1,BAOsPCR3p00059,H1,250,H5 2/3-1
PrimerPlate,G19,BAOsPCR3p00059,H2,250,K5 3-10
PrimerPlate,A9,BAOsPCR3p00059,H3,250,H5 2/3-3
PrimerPlate,M5,BAOsPCR3p00059,H4,250,L5 3-9
PrimerPlate,A7,BAOsPCR3p00059,H5,250,H5 2/3-2
PrimerPlate,K1,BAOsPCR3p00059,H6,250,L5 2/3-1
PrimerPlate,A9,BAOsPCR3p00059,H7,250,H5 2/3-3
PrimerPlate,G17,BAOsPCR3p00059,H8,250,K5 3-9
PrimerPlate,A15,BAOsPCR3p00059,H9,250,H5 3-10
PrimerPlate,G1,BAOsPCR3p00059,H10,250,K5 3-1
PrimerPlate,A1,BAOsPCR3p00059,H11,250,H5 2/3-1
PrimerPlate,K1,BAOsPCR3p00059,H12,250,L5 2/3-1
PrimerPlate,E1,BAOsPCR3p00059,A1,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,A2,250,K3 3-2
PrimerPlate,K13,BAOsPCR3p00059,A3,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,A4,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00059,A5,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,A6,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,A7,250,K3 3-2
PrimerPlate,K13,BAOsPCR3p00059,A8,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,A9,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00059,A10,250,K3 3-2
PrimerPlate,E5,BAOsPCR3p00059,A11,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00059,A12,250,K3 3-2
PrimerPlate,K13,BAOsPCR3p00059,B1,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,B2,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,B3,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00059,B4,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00059,B5,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,B6,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,B7,250,K3 3-2
PrimerPlate,E3,BAOsPCR3p00059,B8,250,H3 3-2
PrimerPlate,I3,BAOsPCR3p00059,B9,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,B10,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,B11,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,B12,250,H3 3-3
PrimerPlate,I7,BAOsPCR3p00059,C1,250,K3 3-4
PrimerPlate,E1,BAOsPCR3p00059,C2,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,C3,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00059,C4,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,C5,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,C6,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00059,C7,250,K3 3-2
PrimerPlate,E5,BAOsPCR3p00059,C8,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00059,C9,250,K3 3-2
PrimerPlate,E5,BAOsPCR3p00059,C10,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00059,C11,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,C12,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00059,D1,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00059,D2,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00059,D3,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00059,D4,250,H3 3-3
PrimerPlate,I7,BAOsPCR3p00059,D5,250,K3 3-4
PrimerPlate,E3,BAOsPCR3p00059,D6,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00059,D7,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00059,D8,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00059,D9,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00059,D10,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00059,D11,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00059,D12,250,H3 3-3
