Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
BAOsP1COp00102,G5,BAOsPCR3p00059,A1,1800
BAOsP1COp00102,H6,BAOsPCR3p00059,A2,1800
BAOsP1COp00102,G6,BAOsPCR3p00059,A3,1800
BAOsP1COp00102,G7,BAOsPCR3p00059,A4,1800
BAOsP1COp00102,H8,BAOsPCR3p00059,A5,1800
BAOsP1COp00102,G9,BAOsPCR3p00059,A6,1800
BAOsP1COp00102,H10,BAOsPCR3p00059,A7,1800
BAOsP1COp00102,G10,BAOsPCR3p00059,A8,1800
BAOsP1COp00102,G13,BAOsPCR3p00059,A9,1800
BAOsP1COp00102,H14,BAOsPCR3p00059,A10,1800
BAOsP1COp00102,G15,BAOsPCR3p00059,A11,1800
BAOsP1COp00102,H16,BAOsPCR3p00059,A12,1800
BAOsP1COp00102,G16,BAOsPCR3p00059,B1,1800
BAOsP1COp00102,I21,BAOsPCR3p00059,B2,1800
BAOsP1COp00102,J22,BAOsPCR3p00059,B3,1800
BAOsP1COp00102,I23,BAOsPCR3p00059,B4,1800
BAOsP1COp00102,J24,BAOsPCR3p00059,B5,1800
BAOsP1COp00102,I3,BAOsPCR3p00059,B6,1800
BAOsP1COp00102,J4,BAOsPCR3p00059,B7,1800
BAOsP1COp00102,I5,BAOsPCR3p00059,B8,1800
BAOsP1COp00102,J6,BAOsPCR3p00059,B9,1800
BAOsP1COp00102,I7,BAOsPCR3p00059,B10,1800
BAOsP1COp00102,I8,BAOsPCR3p00059,B11,1800
BAOsP1COp00102,I9,BAOsPCR3p00059,B12,1800
BAOsP1COp00102,J10,BAOsPCR3p00059,C1,1800
BAOsP1COp00102,I11,BAOsPCR3p00059,C2,1800
BAOsP1COp00102,J12,BAOsPCR3p00059,C3,1800
BAOsP1COp00102,I15,BAOsPCR3p00059,C4,1800
BAOsP1COp00102,I16,BAOsPCR3p00059,C5,1800
BAOsP1COp00102,K1,BAOsPCR3p00059,C6,1800
BAOsP1COp00102,L2,BAOsPCR3p00059,C7,1800
BAOsP1COp00102,K23,BAOsPCR3p00059,C8,1800
BAOsP1COp00102,L24,BAOsPCR3p00059,C9,1800
BAOsP1COp00102,K5,BAOsPCR3p00059,C10,1800
BAOsP1COp00102,K6,BAOsPCR3p00059,C11,1800
BAOsP1COp00102,K7,BAOsPCR3p00059,C12,1800
BAOsP1COp00102,L8,BAOsPCR3p00059,D1,1800
BAOsP1COp00102,K11,BAOsPCR3p00059,D2,1800
BAOsP1COp00102,L12,BAOsPCR3p00059,D3,1800
BAOsP1COp00102,K13,BAOsPCR3p00059,D4,1800
BAOsP1COp00102,L14,BAOsPCR3p00059,D5,1800
BAOsP1COp00102,K15,BAOsPCR3p00059,D6,1800
BAOsP1COp00102,K16,BAOsPCR3p00059,D7,1800
BAOsP1COp00102,M19,BAOsPCR3p00059,D8,1800
BAOsP1COp00102,M20,BAOsPCR3p00059,D9,1800
BAOsP1COp00102,M23,BAOsPCR3p00059,D10,1800
BAOsP1COp00102,N24,BAOsPCR3p00059,D11,1800
BAOsP1COp00102,M3,BAOsPCR3p00059,D12,1800
BAOsP1COp00102,M4,BAOsPCR3p00059,E1,1800
BAOsP1COp00102,M7,BAOsPCR3p00059,E2,1800
BAOsP1COp00102,M8,BAOsPCR3p00059,E3,1800
BAOsP1COp00102,M9,BAOsPCR3p00059,E4,1800
BAOsP1COp00102,N10,BAOsPCR3p00059,E5,1800
BAOsP1COp00102,M11,BAOsPCR3p00059,E6,1800
BAOsP1COp00102,N12,BAOsPCR3p00059,E7,1800
BAOsP1COp00102,M12,BAOsPCR3p00059,E8,1800
BAOsP1COp00102,M17,BAOsPCR3p00059,E9,1800
BAOsP1COp00102,N18,BAOsPCR3p00059,E10,1800
BAOsP1COp00102,O1,BAOsPCR3p00059,E11,1800
BAOsP1COp00102,P2,BAOsPCR3p00059,E12,1800
BAOsP1COp00102,O19,BAOsPCR3p00059,F1,1800
BAOsP1COp00102,P20,BAOsPCR3p00059,F2,1800
BAOsP1COp00102,O21,BAOsPCR3p00059,F3,1800
BAOsP1COp00102,P22,BAOsPCR3p00059,F4,1800
BAOsP1COp00102,O5,BAOsPCR3p00059,F5,1800
BAOsP1COp00102,P6,BAOsPCR3p00059,F6,1800
BAOsP1COp00102,O7,BAOsPCR3p00059,F7,1800
BAOsP1COp00102,P8,BAOsPCR3p00059,F8,1800
BAOsP1COp00102,O13,BAOsPCR3p00059,F9,1800
BAOsP1COp00102,P14,BAOsPCR3p00059,F10,1800
BAOsP1COp00102,O15,BAOsPCR3p00059,F11,1800
BAOsP1COp00102,O16,BAOsPCR3p00059,F12,1800
