Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
PP_SP_Pla,E2,BAOsGiAsp00061,A1,650
PP_SP_Pla,F2,BAOsGiAsp00061,A3,650
PP_SP_Pla,E2,BAOsGiAsp00061,A5,650
PP_SP_Pla,F2,BAOsGiAsp00061,A7,650
PP_SP_Pla,E2,BAOsGiAsp00061,A9,650
PP_SP_Pla,F2,BAOsGiAsp00061,A11,650
PP_SP_Pla,E2,BAOsGiAsp00061,A13,650
PP_SP_Pla,F2,BAOsGiAsp00061,A15,650
PP_SP_Pla,E2,BAOsGiAsp00061,A17,650
PP_SP_Pla,F2,BAOsGiAsp00061,A19,650
PP_SP_Pla,E2,BAOsGiAsp00061,A21,650
PP_SP_Pla,G2,BAOsGiAsp00061,A23,650
PP_SP_Pla,E2,BAOsGiAsp00061,C1,650
PP_SP_Pla,F2,BAOsGiAsp00061,C3,650
PP_SP_Pla,E2,BAOsGiAsp00061,C5,650
PP_SP_Pla,F2,BAOsGiAsp00061,C7,650
PP_SP_Pla,E2,BAOsGiAsp00061,C9,650
PP_SP_Pla,F2,BAOsGiAsp00061,C11,650
PP_SP_Pla,E2,BAOsGiAsp00061,C13,650
PP_SP_Pla,F2,BAOsGiAsp00061,C15,650
PP_SP_Pla,E2,BAOsGiAsp00061,C17,650
PP_SP_Pla,F2,BAOsGiAsp00061,C19,650
PP_SP_Pla,E2,BAOsGiAsp00061,C21,650
PP_SP_Pla,G2,BAOsGiAsp00061,C23,650
PP_SP_Pla,E2,BAOsGiAsp00061,E1,650
PP_SP_Pla,F2,BAOsGiAsp00061,E3,650
PP_SP_Pla,E2,BAOsGiAsp00061,E5,650
PP_SP_Pla,G2,BAOsGiAsp00061,E7,650
PP_SP_Pla,E2,BAOsGiAsp00061,E9,650
PP_SP_Pla,G2,BAOsGiAsp00061,E11,650
PP_SP_Pla,E2,BAOsGiAsp00061,E13,650
PP_SP_Pla,F2,BAOsGiAsp00061,E15,650
PP_SP_Pla,E2,BAOsGiAsp00061,E17,650
PP_SP_Pla,G2,BAOsGiAsp00061,E19,650
PP_SP_Pla,E2,BAOsGiAsp00061,E21,650
PP_SP_Pla,F2,BAOsGiAsp00061,E23,650
PP_SP_Pla,G2,BAOsGiAsp00061,G1,650
PP_SP_Pla,E2,BAOsGiAsp00061,G3,650
PP_SP_Pla,F2,BAOsGiAsp00061,G5,650
PP_SP_Pla,E2,BAOsGiAsp00061,G7,650
PP_SP_Pla,F2,BAOsGiAsp00061,G9,650
PP_SP_Pla,E2,BAOsGiAsp00061,G11,650
PP_SP_Pla,G2,BAOsGiAsp00061,G13,650
PP_SP_Pla,E2,BAOsGiAsp00061,G15,650
PP_SP_Pla,F2,BAOsGiAsp00061,G17,650
PP_SP_Pla,E2,BAOsGiAsp00061,G19,650
PP_SP_Pla,F2,BAOsGiAsp00061,G21,650
PP_SP_Pla,E2,BAOsGiAsp00061,G23,650
PP_SP_Pla,F2,BAOsGiAsp00061,I1,650
PP_SP_Pla,E2,BAOsGiAsp00061,I3,650
PP_SP_Pla,G2,BAOsGiAsp00061,I5,650
PP_SP_Pla,E2,BAOsGiAsp00061,I7,650
PP_SP_Pla,F2,BAOsGiAsp00061,I9,650
PP_SP_Pla,E2,BAOsGiAsp00061,I11,650
PP_SP_Pla,G2,BAOsGiAsp00061,I13,650
PP_SP_Pla,E2,BAOsGiAsp00061,I15,650
PP_SP_Pla,F2,BAOsGiAsp00061,I17,650
PP_SP_Pla,E2,BAOsGiAsp00061,I19,650
PP_SP_Pla,F2,BAOsGiAsp00061,I21,650
PP_SP_Pla,E2,BAOsGiAsp00061,I23,650
PP_SP_Pla,F2,BAOsGiAsp00061,K1,650
PP_SP_Pla,E2,BAOsGiAsp00061,K3,650
PP_SP_Pla,G2,BAOsGiAsp00061,K5,650
PP_SP_Pla,E2,BAOsGiAsp00061,K7,650
PP_SP_Pla,F2,BAOsGiAsp00061,K9,650
PP_SP_Pla,E2,BAOsGiAsp00061,K11,650
PP_SP_Pla,G2,BAOsGiAsp00061,K13,650
PP_SP_Pla,E2,BAOsGiAsp00061,K15,650
PP_SP_Pla,G2,BAOsGiAsp00061,K17,650
PP_SP_Pla,E2,BAOsGiAsp00061,K19,650
PP_SP_Pla,F2,BAOsGiAsp00061,K21,650
PP_SP_Pla,E2,BAOsGiAsp00061,K23,650
PP_SP_Pla,F2,BAOsGiAsp00061,M1,650
PP_SP_Pla,E2,BAOsGiAsp00061,M3,650
PP_SP_Pla,G2,BAOsGiAsp00061,M5,650
PP_SP_Pla,E2,BAOsGiAsp00061,M7,650
PP_SP_Pla,G2,BAOsGiAsp00061,M9,650
PP_SP_Pla,E2,BAOsGiAsp00061,M11,650
PP_SP_Pla,G2,BAOsGiAsp00061,M13,650
PP_SP_Pla,E2,BAOsGiAsp00061,M15,650
PP_SP_Pla,G2,BAOsGiAsp00061,M17,650
PP_SP_Pla,E2,BAOsGiAsp00061,M19,650
PP_SP_Pla,F2,BAOsGiAsp00061,M21,650
PP_SP_Pla,E2,BAOsGiAsp00061,M23,650
PP_SP_Pla,F2,BAOsGiAsp00061,O1,650
PP_SP_Pla,E2,BAOsGiAsp00061,O3,650
PP_SP_Pla,F2,BAOsGiAsp00061,O5,650
PP_SP_Pla,E2,BAOsGiAsp00061,O7,650
