Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
PP_BP_MasterMix,A2,BAOsGiAsp00060,A1,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A3,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A5,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A7,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A9,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A11,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A13,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A15,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A17,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A19,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A21,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,A23,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C1,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C3,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C5,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C7,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C9,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C11,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C13,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C15,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C17,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C19,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C21,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,C23,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E1,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E3,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E5,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E7,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E9,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E11,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E13,1000
PP_BP_MasterMix,A2,BAOsGiAsp00060,E15,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,E17,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,E19,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,E21,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,E23,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G1,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G3,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G5,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G7,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G9,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G11,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G13,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G15,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G17,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G19,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G21,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,G23,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I1,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I3,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I5,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I7,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I9,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I11,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I13,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I15,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I17,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I19,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I21,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,I23,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,K1,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,K3,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,K5,1000
PP_BP_MasterMix,B2,BAOsGiAsp00060,K7,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K9,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K11,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K13,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K15,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K17,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K19,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K21,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,K23,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M1,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M3,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M5,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M7,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M9,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M11,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M13,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M15,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M17,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M19,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M21,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,M23,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O1,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O3,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O5,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O7,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O9,1000
PP_BP_MasterMix,C2,BAOsGiAsp00060,O11,1000
