Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
BAOsP3COp00028,A2,BAOsGiAsp00061,A1,350
BAOsP3COp00028,A4,BAOsGiAsp00061,A3,350
BAOsP3COp00028,A6,BAOsGiAsp00061,A5,350
BAOsP3COp00028,A8,BAOsGiAsp00061,A7,350
BAOsP3COp00028,A10,BAOsGiAsp00061,A9,350
BAOsP3COp00028,A12,BAOsGiAsp00061,A11,350
BAOsP3COp00028,A14,BAOsGiAsp00061,A13,350
BAOsP3COp00028,A16,BAOsGiAsp00061,A15,350
BAOsP3COp00028,A18,BAOsGiAsp00061,A17,350
BAOsP3COp00028,A20,BAOsGiAsp00061,A19,350
BAOsP3COp00028,A22,BAOsGiAsp00061,A21,350
BAOsP3COp00028,A24,BAOsGiAsp00061,A23,350
BAOsP3COp00028,C2,BAOsGiAsp00061,C1,350
BAOsP3COp00028,C4,BAOsGiAsp00061,C3,350
BAOsP3COp00028,C6,BAOsGiAsp00061,C5,350
BAOsP3COp00028,C8,BAOsGiAsp00061,C7,350
BAOsP3COp00028,C10,BAOsGiAsp00061,C9,350
BAOsP3COp00028,C12,BAOsGiAsp00061,C11,350
BAOsP3COp00028,C14,BAOsGiAsp00061,C13,350
BAOsP3COp00028,C16,BAOsGiAsp00061,C15,350
BAOsP3COp00028,C18,BAOsGiAsp00061,C17,350
BAOsP3COp00028,C20,BAOsGiAsp00061,C19,350
BAOsP3COp00028,C22,BAOsGiAsp00061,C21,350
BAOsP3COp00028,C24,BAOsGiAsp00061,C23,350
BAOsP3COp00028,E2,BAOsGiAsp00061,E1,350
BAOsP3COp00028,E4,BAOsGiAsp00061,E3,350
BAOsP3COp00028,E6,BAOsGiAsp00061,E5,350
BAOsP3COp00028,E8,BAOsGiAsp00061,E7,350
BAOsP3COp00028,E10,BAOsGiAsp00061,E9,350
BAOsP3COp00028,E12,BAOsGiAsp00061,E11,350
BAOsP3COp00028,E14,BAOsGiAsp00061,E13,350
BAOsP3COp00028,E16,BAOsGiAsp00061,E15,350
BAOsP3COp00028,E18,BAOsGiAsp00061,E17,350
BAOsP3COp00028,E20,BAOsGiAsp00061,E19,350
BAOsP3COp00028,E22,BAOsGiAsp00061,E21,350
BAOsP3COp00028,E24,BAOsGiAsp00061,E23,350
BAOsP3COp00028,G2,BAOsGiAsp00061,G1,350
BAOsP3COp00028,G4,BAOsGiAsp00061,G3,350
BAOsP3COp00028,G6,BAOsGiAsp00061,G5,350
BAOsP3COp00028,G8,BAOsGiAsp00061,G7,350
BAOsP3COp00028,G10,BAOsGiAsp00061,G9,350
BAOsP3COp00028,G12,BAOsGiAsp00061,G11,350
BAOsP3COp00028,G14,BAOsGiAsp00061,G13,350
BAOsP3COp00028,G16,BAOsGiAsp00061,G15,350
BAOsP3COp00028,G18,BAOsGiAsp00061,G17,350
BAOsP3COp00028,G20,BAOsGiAsp00061,G19,350
BAOsP3COp00028,G22,BAOsGiAsp00061,G21,350
BAOsP3COp00028,G24,BAOsGiAsp00061,G23,350
BAOsP3COp00028,I2,BAOsGiAsp00061,I1,350
BAOsP3COp00028,I4,BAOsGiAsp00061,I3,350
BAOsP3COp00028,I6,BAOsGiAsp00061,I5,350
BAOsP3COp00028,I8,BAOsGiAsp00061,I7,350
BAOsP3COp00028,I10,BAOsGiAsp00061,I9,350
BAOsP3COp00028,I12,BAOsGiAsp00061,I11,350
BAOsP3COp00028,I14,BAOsGiAsp00061,I13,350
BAOsP3COp00028,I16,BAOsGiAsp00061,I15,350
BAOsP3COp00028,I18,BAOsGiAsp00061,I17,350
BAOsP3COp00028,I20,BAOsGiAsp00061,I19,350
BAOsP3COp00028,I22,BAOsGiAsp00061,I21,350
BAOsP3COp00028,I24,BAOsGiAsp00061,I23,350
BAOsP3COp00028,K2,BAOsGiAsp00061,K1,350
BAOsP3COp00028,K4,BAOsGiAsp00061,K3,350
BAOsP3COp00028,K6,BAOsGiAsp00061,K5,350
BAOsP3COp00028,K8,BAOsGiAsp00061,K7,350
BAOsP3COp00028,K10,BAOsGiAsp00061,K9,350
BAOsP3COp00028,K12,BAOsGiAsp00061,K11,350
BAOsP3COp00028,K14,BAOsGiAsp00061,K13,350
BAOsP3COp00028,K16,BAOsGiAsp00061,K15,350
BAOsP3COp00028,K18,BAOsGiAsp00061,K17,350
BAOsP3COp00028,K20,BAOsGiAsp00061,K19,350
BAOsP3COp00028,K22,BAOsGiAsp00061,K21,350
BAOsP3COp00028,K24,BAOsGiAsp00061,K23,350
BAOsP3COp00028,M2,BAOsGiAsp00061,M1,350
BAOsP3COp00028,M4,BAOsGiAsp00061,M3,350
BAOsP3COp00028,M6,BAOsGiAsp00061,M5,350
BAOsP3COp00028,M8,BAOsGiAsp00061,M7,350
BAOsP3COp00028,M10,BAOsGiAsp00061,M9,350
BAOsP3COp00028,M12,BAOsGiAsp00061,M11,350
BAOsP3COp00028,M14,BAOsGiAsp00061,M13,350
BAOsP3COp00028,M16,BAOsGiAsp00061,M15,350
BAOsP3COp00028,M18,BAOsGiAsp00061,M17,350
BAOsP3COp00028,M20,BAOsGiAsp00061,M19,350
BAOsP3COp00028,M22,BAOsGiAsp00061,M21,350
BAOsP3COp00028,M24,BAOsGiAsp00061,M23,350
BAOsP3COp00028,O2,BAOsGiAsp00061,O1,350
BAOsP3COp00028,O4,BAOsGiAsp00061,O3,350
BAOsP3COp00028,O6,BAOsGiAsp00061,O5,350
BAOsP3COp00028,O8,BAOsGiAsp00061,O7,350
BAOsP3COp00028,O10,BAOsGiAsp00061,O9,350
BAOsP3COp00028,O12,BAOsGiAsp00061,O11,350
BAOsP3COp00028,O14,BAOsGiAsp00061,O13,350
BAOsP3COp00028,O16,BAOsGiAsp00061,O15,350
BAOsP3COp00028,O18,BAOsGiAsp00061,O17,350
BAOsP3COp00028,O20,BAOsGiAsp00061,O19,350
BAOsP3COp00028,O22,BAOsGiAsp00061,O21,350
BAOsP3COp00028,O24,BAOsGiAsp00061,O23,350
