Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
A1,SampA1,0.0256,35,,1.1966,522,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,7.1811,64,10.7,186.8896,13437,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.0618,124,4.6,40.5670,6806,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.4989,224,5.2,25.8019,9075,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.5976,324,5.3,18.3225,10149,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.6866,420,5.5,14.4767,10871,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,9.9106,523,14.7,31.1821,29779,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2830,621,4.9,8.7281,9857,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2035,732,4.8,7.2123,9851,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2826,828,4.9,6.5407,9646,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2915,938,4.9,5.8065,10293,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,9.9594,1037,14.8,15.8844,27434,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.3960,1254,5.0,4.5043,10318,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.3320,1520,5.0,3.6347,8250,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2881,2035,4.9,2.6782,10219,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2851,2949,4.9,1.8376,9766,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,0.5000,5000,,0.1646,16832,67.2577,374.0667,67.5735,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0251,35,,1.2080,541,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0570,55,0.2,1.7627,54,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,7.0374,63,29.9,183.1500,14236,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.1389,100,0.6,2.3045,191,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.4001,229,1.7,2.8732,119,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0831,246,0.4,0.5402,63,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.3920,297,1.7,2.1567,100,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,8.3776,417,35.5,32.8191,6730,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.3975,467,1.7,1.4065,435,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.3883,475,1.6,1.3396,363,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.1271,491,0.5,0.4241,141,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,3.4615,554,14.7,10.2450,2156,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,1.4894,635,6.3,3.8843,2174,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,1.1128,646,4.7,2.8218,1533,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0507,696,0.2,0.1199,68,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0609,4023,0.3,0.0246,58,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.5000,5000,,0.1650,17668,23.5743,245.8722,23.7622,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0773,35,,3.5089,1311,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.7887,53,6.2,24.8459,783,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,6.7186,64,53.1,174.8530,15778,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.1447,91,1.1,2.6105,102,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0750,103,0.6,1.1962,135,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0688,132,0.5,0.8634,82,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0511,422,0.4,0.2002,61,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,4.4192,473,34.9,15.5707,7250,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.3801,500,3.0,1.2386,238,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.5000,5000,,0.1649,20766,12.6462,221.3786,12.9248,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0275,35,,1.2834,625,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1133,46,0.5,3.8666,89,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,6.7271,63,28.0,175.0753,15684,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1413,99,0.6,2.3678,195,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1038,182,0.4,0.9531,97,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1995,243,0.8,1.3726,108,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0965,251,0.4,0.6273,94,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.2377,264,1.0,1.4536,108,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,16.3188,426,68.0,63.6259,23125,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0704,596,0.3,0.1966,59,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.5000,5000,,0.1648,20303,24.0084,249.5388,24.3000,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.0328,35,,1.5765,617,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1355,47,0.3,4.7187,63,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,7.3515,63,17.3,191.3259,15423,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1762,90,0.4,3.1785,83,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1200,102,0.3,1.9326,158,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.0350,179,0.1,0.3216,62,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1689,184,0.4,1.5094,404,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.0449,258,0.1,0.2871,70,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,29.5323,453,69.6,108.4659,36099,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,2.8665,493,6.8,9.6065,2089,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.6209,521,1.5,1.9242,485,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1390,1549,0.3,0.1540,148,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.6328,2001,1.5,0.5544,277,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1923,2374,0.5,0.1313,187,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.2665,3183,0.6,0.1438,151,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1311,3569,0.3,0.0564,124,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.5000,5000,,0.1650,18726,42.4135,324.3104,42.5215,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,0.0939,35,,4.2639,520,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,0.5695,94,0.6,10.0538,221,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,74.1362,769,79.4,158.0491,20828,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,2.5371,1093,2.7,3.9138,746,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,3.2868,1180,3.5,4.0647,582,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,12.8872,2627,13.8,8.2388,2378,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,0.5000,5000,,0.1613,2005,93.4168,184.3202,93.8879,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.0289,35,,1.3116,591,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.1026,48,0.4,3.4293,87,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,6.5727,63,23.3,171.0575,16072,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.0349,91,0.1,0.6294,52,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.6317,138,2.2,7.5773,457,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.2635,149,0.9,2.8876,302,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,19.7722,467,70.0,69.9655,31178,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.7464,537,2.6,2.2495,473,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.1162,638,0.4,0.3016,78,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A7,SampA7,0.5000,5000,,0.1648,21415,28.2402,258.0977,28.5530,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.0265,35,,1.2377,612,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.0830,46,0.3,2.8929,81,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,6.7406,63,24.2,175.4261,15854,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.1441,99,0.5,2.3908,234,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.1143,241,0.4,0.7833,66,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.2982,268,1.1,1.8505,150,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,20.2841,429,72.8,78.5283,28267,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.1534,601,0.6,0.4301,101,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.0351,654,0.1,0.0885,75,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A8,SampA8,0.5000,5000,,0.1649,19635,27.8528,262.3905,28.2162,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0328,35,,1.5327,660,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.2825,50,0.9,9.4412,138,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,6.7330,63,21.2,175.2283,15972,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.2627,103,0.8,4.6370,122,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0429,412,0.1,0.1724,68,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,23.3523,465,73.5,83.3508,40035,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,1.0401,486,3.3,3.4505,636,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.0394,564,0.1,0.1151,77,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A9,SampA9,0.5000,5000,,0.1651,20318,31.7528,276.3953,32.0678,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.0249,35,,1.1605,535,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.0315,46,0.1,1.1199,56,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,6.7715,63,20.2,176.2308,14779,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.1706,101,0.5,2.8290,238,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,25.0320,416,74.5,99.9655,36569,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,1.1093,443,3.3,4.1018,690,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.4677,469,1.4,1.6338,280,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A10,SampA10,0.5000,5000,,0.1650,20086,33.5825,285.8808,33.8524,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0263,35,,1.2268,624,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.2175,53,0.7,7.1253,141,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,6.2516,64,20.2,162.6993,16275,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.1166,91,0.4,2.1033,91,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.1236,103,0.4,1.9334,108,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,22.7474,480,73.5,78.6344,40708,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,1.4512,498,4.7,4.7101,1369,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
A11,SampA11,0.0474,583,0.2,0.1343,94,30.9553,257.3401,31.1756,N/A (Size threshold is less than lower marker end point),0
