Well,Sample ID,DQN,Size Threshold (bp),Total Conc. (ng/uL)
A1,SampA1,N/A,0,67.5735
A2,SampA2,N/A,0,23.7622
A3,SampA3,N/A,0,12.9248
A4,SampA4,N/A,0,24.3000
A5,SampA5,N/A,0,42.5215
A6,SampA6,N/A,0,93.8879
A7,SampA7,N/A,0,28.5530
A8,SampA8,N/A,0,28.2162
A9,SampA9,N/A,0,32.0678
A10,SampA10,N/A,0,33.8524
A11,SampA11,N/A,0,31.1756
A12,SampA12,N/A,0,44.8968
B1,SampB1,N/A,0,40.4096
B2,SampB2,N/A,0,25.9829
B3,SampB3,N/A,0,31.6650
B4,SampB4,N/A,0,29.5119
B5,SampB5,N/A,0,19.4536
B6,SampB6,N/A,0,36.8866
B7,SampB7,N/A,0,34.9353
B8,SampB8,N/A,0,31.1654
B9,SampB9,N/A,0,31.7269
B10,SampB10,N/A,0,35.1608
B11,SampB11,N/A,0,19.9760
B12,SampB12,N/A,0,20.0575
C1,SampC1,N/A,0,25.1313
C2,SampC2,N/A,0,26.1132
C3,SampC3,N/A,0,18.3964
C4,SampC4,N/A,0,32.1961
C5,SampC5,N/A,0,43.4770
C6,SampC6,N/A,0,42.7876
C7,SampC7,N/A,0,26.5430
C8,SampC8,N/A,0,46.6511
C9,SampC9,N/A,0,35.8388
C10,SampC10,N/A,0,20.9525
C11,SampC11,N/A,0,32.3077
C12,SampC12,N/A,0,36.6018
D1,SampD1,N/A,0,30.6886
D2,SampD2,N/A,0,29.9707
D3,SampD3,N/A,0,35.5221
D4,SampD4,N/A,0,15.1285
D5,SampD5,N/A,0,42.1888
D6,SampD6,N/A,0,33.8351
D7,SampD7,N/A,0,22.8507
D8,SampD8,N/A,0,35.3634
D9,SampD9,N/A,0,20.4189
D10,SampD10,N/A,0,25.8004
D11,SampD11,N/A,0,9.0023
D12,SampD12,N/A,0,8.1359
E1,SampE1,N/A,0,24.7341
E2,SampE2,N/A,0,34.0290
E3,SampE3,N/A,0,34.1190
E4,SampE4,N/A,0,23.1609
E5,SampE5,N/A,0,28.1098
E6,SampE6,N/A,0,26.9985
E7,SampE7,N/A,0,26.9825
E8,SampE8,N/A,0,18.8271
E9,SampE9,N/A,0,17.1702
E10,SampE10,N/A,0,53.4039
E11,SampE11,N/A,0,41.6133
E12,SampE12,N/A,0,35.2762
F1,SampF1,N/A,0,29.5608
F2,SampF2,N/A,0,34.8352
F3,SampF3,N/A,0,29.8279
F4,SampF4,N/A,0,22.4881
F5,SampF5,N/A,0,33.1757
F6,SampF6,N/A,0,36.6022
F7,SampF7,N/A,0,32.7946
F8,SampF8,N/A,0,38.7666
F9,SampF9,N/A,0,36.7789
F10,SampF10,N/A,0,19.1415
F11,SampF11,N/A,0,31.2671
F12,SampF12,N/A,0,35.0631
G1,SampG1,N/A,0,32.0836
G2,SampG2,N/A,0,32.1594
G3,SampG3,N/A,0,27.8530
G4,SampG4,N/A,0,38.6733
G5,SampG5,N/A,0,35.2579
G6,SampG6,N/A,0,7.9100
G7,SampG7,N/A,0,16.6135
G8,SampG8,N/A,0,32.1127
G9,SampG9,N/A,0,39.3647
G10,SampG10,N/A,0,10.9680
G11,SampG11,N/A,0,29.2265
G12,SampG12,N/A,0,33.4786
H1,SampH1,N/A,0,29.7106
H2,SampH2,N/A,0,40.6786
H3,SampH3,N/A,0,37.3366
H4,SampH4,N/A,0,22.5903
H5,SampH5,N/A,0,38.0132
H6,SampH6,N/A,0,38.5364
H7,SampH7,N/A,0,39.3267
H8,SampH8,N/A,0,38.4675
H9,SampH9,N/A,0,28.8301
H10,SampH10,N/A,0,36.2786
H11,SampH11,N/A,0,30.8814
H12,SampH12,N/A,0,36.9641
