Ladder Size (bp),Time (sec)
35,1152
100,1265
200,1457
300,1628
400,1770
500,1907
600,2006
700,2088
800,2140
900,2182
1000,2210
1200,2250
1500,2285
2000,2338
3000,2398
5000,2487
